flight_connection_id,ops_fid1,flight_id1,flight_id2,f1_sch_arr,f2_sch_dep,pax_sch_layover,conn1_num_passengers,conn1_min_mct,conn1_dest_cd,conn1_min_mct_sec,conn1_orig_cd,ops_fid2
2634ATL2025-12-03_UA_444,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,444IAD2025-12-04,1764815100,1764819060,3960,1,45,BDL,2700,IAD,
2634ATL2025-12-03_UA_3515,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,3515IAD2025-12-04,1764815100,1764817860,2760,1,40,YYZ,2400,IAD,
2634ATL2025-12-03_UA_1738,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,1738IAD2025-12-04,1764815100,1764819300,4200,2,45,ORD,2700,IAD,
2634ATL2025-12-03_UA_4451,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,4451IAD2025-12-04,1764815100,1764818040,2940,1,40,YOW,2400,IAD,
2634ATL2025-12-03_UA_4950,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,4950IAD2025-12-04,1764815100,1764819000,3900,1,40,ITH,2400,IAD,
2634ATL2025-12-03_LH_415,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,415IAD2025-12-04,1764815100,1764820500,5400,5,45,MUC,2700,IAD,
2634ATL2025-12-03_UA_6234,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,6234IAD2025-12-04,1764815100,1764818820,3720,1,40,CLT,2400,IAD,
2634ATL2025-12-03_UA_4473,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,4473IAD2025-12-04,1764815100,1764817800,2700,1,40,RIC,2400,IAD,
2634ATL2025-12-03_UA_3413,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,3413IAD2025-12-04,1764815100,1764818580,3480,4,40,LGA,2400,IAD,
2634ATL2025-12-03_UA_495,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,495IAD2025-12-04,1764815100,1764817800,2700,1,45,DEN,2700,IAD,
2634ATL2025-12-03_UA_4321,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,4321IAD2025-12-04,1764815100,1764818100,3000,1,40,ALB,2400,IAD,
2634ATL2025-12-03_9X_129,UA_2634_2025-12-03_ATL_IAD_0_0,2634ATL2025-12-03,129IAD2025-12-04,1764815100,1764818400,3300,1,45,DUJ,2700,IAD,
