ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_220_2025-09-19_AUS_IAH_0_0,220AUS2025-09-19,4871,2025-09-19,AUS,IAH,1758277800,1758281220,,UA_1962_2025-09-19_IAH_ATL_0_0,-5,-5,1758277800,1758281220,5100,2580,2580,126,2580,false,122,11,0,111,119,122,2635200,[UA_1760_2025-09-19_AUS_EWR_0_0],,0000
UA_1962_2025-09-19_IAH_ATL_0_0,1962IAH2025-09-19,4871,2025-09-19,IAH,ATL,1758285060,1758292920,UA_220_2025-09-19_AUS_IAH_0_0,UA_222_2025-09-19_ATL_IAH_0_0,-5,-4,1758285060,1758292920,2880,2580,2580,126,2580,false,125,12,0,113,0,125,2700000,"[UA_2256_2025-09-19_IAH_MTY_0_0, UA_3932_2025-09-19_IAH_DEN_0_0, UA_1688_2025-09-19_IAH_YYZ_0_0, UA_1060_2025-09-19_IAH_MEX_0_0, UA_1934_2025-09-19_IAH_CLE_0_0]",IAH,4871
UA_222_2025-09-19_ATL_IAH_0_0,222ATL2025-09-19,4871,2025-09-19,ATL,IAH,1758297600,1758305820,UA_1962_2025-09-19_IAH_ATL_0_0,UA_1028_2025-09-19_IAH_MEX_0_0,-4,-5,1758297600,1758305820,2520,2580,2580,126,2580,false,116,11,0,105,49,116,2505600,,ATL,4871
UA_1028_2025-09-19_IAH_MEX_0_0,1028IAH2025-09-19,4871,2025-09-19,IAH,MEX,1758316980,1758325800,UA_222_2025-09-19_ATL_IAH_0_0,MX_4871_2025-09-19_MEX_MEX_false,-5,-6,1758316980,1758325800,2880,3120,3120,126,2580,false,60,10,0,50,0,60,1296000,"[UA_1711_2025-09-19_IAH_AUS_0_0, UA_2472_2025-09-19_IAH_DCA_0_0, UA_1388_2025-09-19_IAH_DFW_0_0]",IAH,4871
MX_4871_2025-09-19_MEX_MEX_false,MX_4871_2025-09-19_MEX_MEX_false,4871,2025-09-19,MEX,MEX,1758325800,1758361800,UA_1028_2025-09-19_IAH_MEX_0_0,UA_428_2025-09-20_MEX_IAH_0_0,,,1758325800,1758361800,5100,5100,5100,,0,true,,,,,,,,,MEX,4871
UA_428_2025-09-20_MEX_IAH_0_0,428MEX2025-09-20,4871,2025-09-20,MEX,IAH,1758371400,1758380820,MX_4871_2025-09-19_MEX_MEX_false,UA_2675_2025-09-20_IAH_PIT_0_0,-6,-5,1758371400,1758380820,5100,2880,2880,126,3120,false,109,9,0,100,87,109,2354400,,MEX,4871
UA_2675_2025-09-20_IAH_PIT_0_0,2675IAH2025-09-20,4871,2025-09-20,IAH,PIT,1758387600,1758397980,UA_428_2025-09-20_MEX_IAH_0_0,UA_2491_2025-09-21_PIT_IAH_0_0,-5,-4,1758387600,1758397980,3600,3480,3480,126,2880,false,103,8,0,95,0,103,2224800,"[UA_2242_2025-09-20_IAH_SLC_0_0, UA_1823_2025-09-20_IAH_SLC_0_0, UA_2045_2025-09-20_IAH_IAD_0_0]",IAH,4871
UA_2491_2025-09-21_PIT_IAH_0_0,2491PIT2025-09-21,4871,2025-09-21,PIT,IAH,1758449400,1758460320,UA_2675_2025-09-20_IAH_PIT_0_0,UA_1594_2025-09-21_IAH_DFW_0_0,-4,-5,1758449400,1758460320,5100,2580,2580,126,3480,false,72,5,0,67,37,72,1555200,,PIT,4871
UA_1594_2025-09-21_IAH_DFW_0_0,1594IAH2025-09-21,4871,2025-09-21,IAH,DFW,1758465960,1758470940,UA_2491_2025-09-21_PIT_IAH_0_0,UA_2112_2025-09-21_DFW_IAH_0_0,-5,-5,1758465960,1758470940,2880,2580,2580,126,2580,false,101,8,0,93,2,101,2181600,"[UA_2242_2025-09-21_IAH_SLC_0_0, UA_2118_2025-09-21_IAH_BJX_0_0, UA_1060_2025-09-21_IAH_MEX_0_0, UA_1823_2025-09-21_IAH_SLC_0_0, UA_794_2025-09-21_IAH_MAF_0_0]",IAH,4871
UA_2112_2025-09-21_DFW_IAH_0_0,2112DFW2025-09-21,4871,2025-09-21,DFW,IAH,1758474300,1758478740,UA_1594_2025-09-21_IAH_DFW_0_0,UA_1455_2025-09-21_IAH_SAT_0_0,-5,-5,1758474300,1758478740,2520,2580,2580,126,2580,false,112,12,0,100,55,112,2419200,,DFW,4871
