fid,fid_raw,tail,dep,arr,deptime,arrtime,prev_fid,next_fid,turn,delay_penalty,cancel_penalty,alternates
1,UA_220_2025-09-19_AUS_IAH_0_0,4871,AUS,IAH,1758277800,1758281220,,2,2580,122,2635200,[180]
2,UA_1962_2025-09-19_IAH_ATL_0_0,4871,IAH,ATL,1758285060,1758292920,1,3,2580,125,2700000,"[263, 221, 196, 103, 15]"
3,UA_222_2025-09-19_ATL_IAH_0_0,4871,ATL,IAH,1758297600,1758305820,2,4,2580,116,2505600,
4,UA_1028_2025-09-19_IAH_MEX_0_0,4871,IAH,MEX,1758316980,1758325800,3,5,3120,60,1296000,"[265, 105, 92]"
5,MX_4871_2025-09-19_MEX_MEX_false,4871,MEX,MEX,1758325800,1758361800,4,6,5100,0,7500000,
6,UA_428_2025-09-20_MEX_IAH_0_0,4871,MEX,IAH,1758371400,1758380820,5,7,2880,109,2354400,
7,UA_2675_2025-09-20_IAH_PIT_0_0,4871,IAH,PIT,1758387600,1758397980,6,8,3480,103,2224800,"[201, 108, 96]"
8,UA_2491_2025-09-21_PIT_IAH_0_0,4871,PIT,IAH,1758449400,1758460320,7,9,2580,72,1555200,
9,UA_1594_2025-09-21_IAH_DFW_0_0,4871,IAH,DFW,1758465960,1758470940,8,10,2580,101,2181600,"[205, 112, 37, 177, 175]"
10,UA_2112_2025-09-21_DFW_IAH_0_0,4871,DFW,IAH,1758474300,1758478740,9,11,2580,112,2419200,
11,UA_1455_2025-09-21_IAH_SAT_0_0,4871,IAH,SAT,1758482400,1758486360,10,12,2580,120,2592000,"[114, 39, 177]"
12,UA_2157_2025-09-21_SAT_IAH_0_0,4871,SAT,IAH,1758489720,1758493500,11,13,2580,126,2721600,
13,UA_1794_2025-09-21_IAH_MEM_0_0,4871,IAH,MEM,1758502380,1758508620,12,,2580,124,2678400,"[219, 207, 102, 179]"
14,UA_469_2025-09-19_SAT_IAH_0_0,4872,SAT,IAH,1758277800,1758281640,,15,2760,114,2462400,
15,UA_1934_2025-09-19_IAH_CLE_0_0,4872,IAH,CLE,1758285300,1758295620,14,16,2580,120,2592000,"[263, 221, 196, 103, 2]"
16,UA_1004_2025-09-19_CLE_EWR_0_0,4872,CLE,EWR,1758299040,1758304740,15,17,2580,124,2678400,
17,UA_1004_2025-09-19_EWR_CLT_0_0,4872,EWR,CLT,1758312000,1758319260,16,18,2580,122,2635200,
18,UA_2094_2025-09-19_CLT_EWR_0_0,4872,CLT,EWR,1758326460,1758333600,17,19,2580,40,864000,
19,UA_1890_2025-09-20_EWR_RDU_0_0,4872,EWR,RDU,1758365100,1758371160,18,20,2580,113,2440800,
20,UA_247_2025-09-20_RDU_ORD_0_0,4872,RDU,ORD,1758376800,1758385380,19,21,2580,122,2635200,
21,UA_1525_2025-09-20_ORD_AUS_0_0,4872,ORD,AUS,1758392100,1758402300,20,22,2580,115,2484000,"[307, 137, 48]"
22,UA_1878_2025-09-21_AUS_ORD_0_0,4872,AUS,ORD,1758456000,1758466500,21,23,2580,122,2635200,[174]
23,UA_233_2025-09-21_ORD_TVC_0_0,4872,ORD,TVC,1758470640,1758475140,22,24,2580,90,1944000,"[312, 285, 272, 139, 127, 50]"
24,UA_2439_2025-09-21_TVC_ORD_0_0,4872,TVC,ORD,1758478500,1758483540,23,25,2580,123,2656800,
25,UA_793_2025-09-21_ORD_DFW_0_0,4872,ORD,DFW,1758487800,1758497220,24,26,2580,124,2678400,"[312, 139, 52]"
26,UA_1718_2025-09-21_DFW_ORD_0_0,4872,DFW,ORD,1758500700,1758509880,25,27,2580,120,2592000,"[261, 89]"
