aircraft_id,scheduled_date,sch_date_epoch,station,is_thru_flight,flight_number,Number_of_Tasks,mst_seconds,pf_id,sch_st_arr_eod,epoch_sch_arr_ron,gmt_offset_dep,gmt_offset_arr,sch_arr_date_eod,layover_length,sch_st_arr,epoch_sch_arr_dd,sch_arr_date,dd_layover_length,pf_sch_dep,pf_sch_arr
4872,2025-12-02,1.7646336E9,DEN,false,,1,14400.0,MX_4872_2025-12-02_DEN_DEN_false,,,,,,,,,,,1764720000,1764734400
4872,2025-12-04,1.7648064E9,DEN,false,,5,21600.0,MX_4872_2025-12-04_DEN_DEN_false,,,,,,,,,,,1764892800,1764914400
4873,2025-12-04,1.7648064E9,EWR,false,,11,36000.0,MX_4873_2025-12-04_EWR_EWR_false,EWR,1764901800,-6,-5,2025-12-04,36000,,,,,1764901800,1764937800
4874,2025-12-05,1.7648928E9,DFW,false,,1,14400.0,MX_4874_2025-12-05_DFW_DFW_false,DFW,1764989160,-7,-6,2025-12-05,30540,,,,,1764989160,1765003560
4875,2025-12-02,1.7646336E9,WHQ,false,,3,14400.0,MX_4875_2025-12-02_WHQ_WHQ_false,,,,,,,,,,,1764720000,1764734400
4875,2025-12-03,1.76472E9,LCQ,false,,87,108000.0,MX_4875_2025-12-03_LCQ_LCQ_false,,,,,,,,,,,1764806400,1764914400
4877,2025-12-02,1.7646336E9,IAH,true,2744,1,3600.0,MX_4877_2025-12-02_IAH_IAH_true,,,,,,,IAH,1764678840,2025-12-02,28800,1764678840,1764682440
4877,2025-12-03,1.76472E9,IAH,false,,7,14400.0,MX_4877_2025-12-03_IAH_IAH_false,IAH,1764809820,-6,-6,2025-12-03,61380,,,,,1764809820,1764824220
4878,2025-12-03,1.76472E9,SEA,false,,2,14400.0,MX_4878_2025-12-03_SEA_SEA_false,SEA,1764815100,-7,-8,2025-12-03,51300,,,,,1764815100,1764829500
4880,2025-12-03,1.76472E9,ORD,false,,2,21600.0,MX_4880_2025-12-03_ORD_ORD_false,ORD,1764802020,-6,-6,2025-12-03,52980,,,,,1764802020,1764823620
4881,2025-12-03,1.76472E9,DTW,false,,5,21600.0,MX_4881_2025-12-03_DTW_DTW_false,DTW,1764806640,-8,-5,2025-12-03,43260,,,,,1764806640,1764828240
4881,2025-12-05,1.7648928E9,ORD,false,,5,36000.0,MX_4881_2025-12-05_ORD_ORD_false,ORD,1764999840,-5,-6,2025-12-05,39300,,,,,1764999840,1765035840
4882,2025-12-02,1.7646336E9,DTW,false,,4,21600.0,MX_4882_2025-12-02_DTW_DTW_false,DTW,1764720240,-8,-5,2025-12-02,43260,,,,,1764720240,1764741840
4882,2025-12-04,1.7648064E9,SEA,false,,1,14400.0,MX_4882_2025-12-04_SEA_SEA_false,SEA,1764901500,-7,-8,2025-12-04,51300,,,,,1764901500,1764915900
4882,2025-12-05,1.7648928E9,EWR,false,,1,10800.0,MX_4882_2025-12-05_EWR_EWR_false,EWR,1764988200,-6,-5,2025-12-05,35760,,,,,1764988200,1764999000
4883,2025-12-03,1.76472E9,EWR,false,,6,18000.0,MX_4883_2025-12-03_EWR_EWR_false,EWR,1764817140,-6,-5,2025-12-03,31260,,,,,1764817140,1764835140
4884,2025-12-02,1.7646336E9,ORD,false,,1,14400.0,MX_4884_2025-12-02_ORD_ORD_false,,,,,,,,,,,1764720000,1764734400
4889,2025-12-02,1.7646336E9,ATL,false,,3,21600.0,MX_4889_2025-12-02_ATL_ATL_false,ATL,1764724020,-5,-5,2025-12-02,42780,,,,,1764724020,1764745620
4889,2025-12-03,1.76472E9,EWR,false,,1,14400.0,MX_4889_2025-12-03_EWR_EWR_false,EWR,1764815400,-6,-5,2025-12-03,39720,,,,,1764815400,1764829800
4890,2025-12-05,1.7648928E9,SFO,false,,8,28800.0,MX_4890_2025-12-05_SFO_SFO_false,SFO,1764993780,-8,-8,2025-12-05,47220,,,,,1764993780,1765022580
4891,2025-12-03,1.76472E9,DSM,false,,1,21600.0,MX_4891_2025-12-03_DSM_DSM_false,DSM,1764822540,-6,-6,2025-12-03,35160,,,,,1764822540,1764844140
4893,2025-12-04,1.7648064E9,DEN,false,,13,28800.0,MX_4893_2025-12-04_DEN_DEN_false,DEN,1764902400,-6,-7,2025-12-04,50100,,,,,1764902400,1764931200
4895,2025-12-02,1.7646336E9,AUS,false,,3,28800.0,MX_4895_2025-12-02_AUS_AUS_false,AUS,1764717660,-6,-6,2025-12-02,68400,,,,,1764717660,1764746460
4895,2025-12-03,1.76472E9,IAH,false,,1,3600.0,MX_4895_2025-12-03_IAH_IAH_false,IAH,1764808800,-6,-6,2025-12-03,62280,,,,,1764808800,1764812400
4895,2025-12-05,1.7648928E9,MEX,false,,4,36000.0,MX_4895_2025-12-05_MEX_MEX_false,MEX,1764982500,-6,-6,2025-12-05,46500,,,,,1764982500,1765018500
4896,2025-12-02,1.7646336E9,ORD,false,,2,21600.0,MX_4896_2025-12-02_ORD_ORD_false,,,,,,,,,,,1764720000,1764741600
4896,2025-12-04,1.7648064E9,ORD,false,,1,3600.0,MX_4896_2025-12-04_ORD_ORD_false,,,,,,,,,,,1764892800,1764896400
4897,2025-12-02,1.7646336E9,DFW,false,,1,7200.0,MX_4897_2025-12-02_DFW_DFW_false,DFW,1764729960,-7,-6,2025-12-02,30540,,,,,1764729960,1764737160
4897,2025-12-04,1.7648064E9,IAH,false,,6,14400.0,MX_4897_2025-12-04_IAH_IAH_false,IAH,1764900600,-6,-6,2025-12-04,56880,,,,,1764900600,1764915000
4898,2025-12-02,1.7646336E9,ATL,false,,4,21600.0,MX_4898_2025-12-02_ATL_ATL_false,ATL,1764723060,-5,-5,2025-12-02,60540,,,,,1764723060,1764744660
4899,2025-12-05,1.7648928E9,SEA,false,,2,10800.0,MX_4899_2025-12-05_SEA_SEA_false,SEA,1764987900,-7,-8,2025-12-05,51300,,,,,1764987900,1764998700
