flight_connection_id,ops_fid1,flight_id1,flight_id2,f1_sch_arr,f2_sch_dep,pax_sch_layover,conn1_num_passengers,conn1_min_mct,conn1_dest_cd,conn1_min_mct_sec,conn1_orig_cd,ops_fid2
2121FCA2025-12-03_UA_1305,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,1305DEN2025-12-04,1764805860,1764809100,3240,1,0,ATL,0,DEN,
2121FCA2025-12-03_UA_540,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,540DEN2025-12-04,1764805860,1764814500,8640,4,0,SAN,0,DEN,
616SBA2025-12-03_UA_4676,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,4676DEN2025-12-04,1764804540,1764808200,3660,1,0,LIT,0,DEN,
616SBA2025-12-03_UA_506,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,506DEN2025-12-04,1764804540,1764810600,6060,1,0,MCI,0,DEN,
2121FCA2025-12-03_UA_2613,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,2613DEN2025-12-04,1764805860,1764808320,2460,1,0,EWR,0,DEN,
616SBA2025-12-03_UA_2408,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,2408DEN2025-12-04,1764804540,1764809760,5220,1,0,IAD,0,DEN,
1234LGA2025-12-03_UA_5362,UA_1234_2025-12-03_LGA_ORD_0_0,1234LGA2025-12-03,5362ORD2025-12-04,1764817020,1764819120,2100,1,40,MKE,2400,ORD,
2121FCA2025-12-03_UA_5802,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,5802DEN2025-12-04,1764805860,1764814800,8940,1,0,CPR,0,DEN,
616SBA2025-12-03_UA_4716,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,4716DEN2025-12-04,1764804540,1764807900,3360,2,0,COU,0,DEN,
616SBA2025-12-03_UA_1541,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,1541DEN2025-12-04,1764804540,1764810300,5760,1,0,MSY,0,DEN,
616SBA2025-12-03_UA_5879,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,5879DEN2025-12-04,1764804540,1764808020,3480,1,0,SHV,0,DEN,
616SBA2025-12-03_UA_1263,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,1263DEN2025-12-04,1764804540,1764808680,4140,2,0,ICT,0,DEN,
616SBA2025-12-03_UA_2076,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,2076DEN2025-12-04,1764804540,1764809880,5340,1,0,MSP,0,DEN,
2121FCA2025-12-03_UA_680,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,680DEN2025-12-04,1764805860,1764808620,2760,1,0,ORF,0,DEN,
616SBA2025-12-03_UA_5461,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,5461DEN2025-12-04,1764804540,1764814980,10440,1,0,GTF,0,DEN,
616SBA2025-12-03_UA_1333,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,1333DEN2025-12-04,1764804540,1764809100,4560,3,0,LGA,0,DEN,
2121FCA2025-12-03_UA_475,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,475DEN2025-12-04,1764805860,1764814800,8940,9,0,IAH,0,DEN,
2121FCA2025-12-03_UA_2408,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,2408DEN2025-12-04,1764805860,1764809760,3900,1,0,IAD,0,DEN,
2121FCA2025-12-03_UA_484,UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,484DEN2025-12-04,1764805860,1764814500,8640,1,0,ABQ,0,DEN,
616SBA2025-12-03_UA_717,UA_616_2025-12-03_SBA_DEN_0_0,616SBA2025-12-03,717DEN2025-12-04,1764804540,1764810300,5760,2,0,MKE,0,DEN,
2274SMF2025-12-04_UA_140,UA_2274_2025-12-04_SMF_ORD_0_0,2274SMF2025-12-04,140ORD2025-12-05,1764900720,1764906300,5580,1,0,TLV,0,ORD,
2409YYC2025-12-04_UA_853,UA_2409_2025-12-04_YYC_SFO_0_0,2409YYC2025-12-04,853SFO2025-12-05,1764898140,1764919200,21060,1,0,TPE,0,SFO,
2409YYC2025-12-04_UA_4737,UA_2409_2025-12-04_YYC_SFO_0_0,2409YYC2025-12-04,4737SFO2025-12-05,1764898140,1764912720,14580,1,0,BFL,0,SFO,
2409YYC2025-12-04_UA_782,UA_2409_2025-12-04_YYC_SFO_0_0,2409YYC2025-12-04,782SFO2025-12-05,1764898140,1764911820,13680,3,0,FLL,0,SFO,
2409YYC2025-12-04_UA_1800,UA_2409_2025-12-04_YYC_SFO_0_0,2409YYC2025-12-04,1800SFO2025-12-05,1764898140,1764903000,4860,1,0,LAX,0,SFO,
2409YYC2025-12-04_UA_5796,UA_2409_2025-12-04_YYC_SFO_0_0,2409YYC2025-12-04,5796SFO2025-12-05,1764898140,1764902700,4560,3,0,SMF,0,SFO,
2173BOI2025-12-02_UA_360,UA_2173_2025-12-02_BOI_DEN_0_0,2173BOI2025-12-02,360DEN2025-12-03,1764719100,1764723000,3900,2,0,PHL,0,DEN,
1967LGA2025-12-04_UA_3690,UA_1967_2025-12-04_LGA_ORD_0_0,1967LGA2025-12-04,3690ORD2025-12-04,1764881700,1764884100,2400,1,40,IND,2400,ORD,
1967LGA2025-12-04_UA_1973,UA_1967_2025-12-04_LGA_ORD_0_0,1967LGA2025-12-04,1973ORD2025-12-04,1764881700,1764886200,4500,1,40,PBI,2400,ORD,UA_1973_2025-12-04_ORD_PBI_0_0
250SYR2025-12-04_UA_1772,UA_250_2025-12-04_SYR_DEN_0_0,250SYR2025-12-04,1772DEN2025-12-04,1764867960,1764873180,5220,1,0,MTJ,0,DEN,
2368TUS2025-12-02_UA_2637,UA_2368_2025-12-02_TUS_DEN_0_0,2368TUS2025-12-02,2637DEN2025-12-02,1764690900,1764694200,3300,3,0,GRR,0,DEN,UA_2637_2025-12-02_DEN_GRR_0_0
1967LGA2025-12-04_UA_5261,UA_1967_2025-12-04_LGA_ORD_0_0,1967LGA2025-12-04,5261ORD2025-12-04,1764881700,1764884100,2400,2,40,ICT,2400,ORD,
2173BOI2025-12-02_UA_27,UA_2173_2025-12-02_BOI_DEN_0_0,2173BOI2025-12-02,27DEN2025-12-03,1764719100,1764722100,3000,1,0,LHR,0,DEN,
793PIT2025-12-03_UA_4550,UA_793_2025-12-03_PIT_ORD_0_0,793PIT2025-12-03,4550ORD2025-12-03,1764795240,1764805800,10560,1,40,ATW,2400,ORD,
2173BOI2025-12-02_UA_2613,UA_2173_2025-12-02_BOI_DEN_0_0,2173BOI2025-12-02,2613DEN2025-12-03,1764719100,1764721920,2820,6,0,EWR,0,DEN,
2173BOI2025-12-02_UA_5527,UA_2173_2025-12-02_BOI_DEN_0_0,2173BOI2025-12-02,5527DEN2025-12-03,1764719100,1764721680,2580,2,0,YWG,0,DEN,
250SYR2025-12-04_UA_1714,UA_250_2025-12-04_SYR_DEN_0_0,250SYR2025-12-04,1714DEN2025-12-04,1764867960,1764873300,5340,4,0,GJT,0,DEN,
2173BOI2025-12-02_UA_1411,UA_2173_2025-12-02_BOI_DEN_0_0,2173BOI2025-12-02,1411DEN2025-12-03,1764719100,1764722100,3000,11,0,ORD,0,DEN,
1870EUG2025-12-02_UA_1184,UA_1870_2025-12-02_EUG_SFO_0_0,1870EUG2025-12-02,1184SFO2025-12-03,1764735900,1764744000,8100,2,0,ORD,0,SFO,
