ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_562_2025-12-02_DRO_DEN_0_0,562DRO2025-12-02,201,2025-12-02,DRO,DEN,1764683100,1764688500,,UA_2637_2025-12-02_DEN_GRR_0_0,-7,-7,1764683100,1764688500,5100,3060,3060,166,3060,false,119,14,0,105,111,119,2570400,,,0000
UA_2637_2025-12-02_DEN_GRR_0_0,2637DEN2025-12-02,201,2025-12-02,DEN,GRR,1764694200,1764703380,UA_562_2025-12-02_DRO_DEN_0_0,UA_2093_2025-12-02_GRR_DEN_0_0,-7,-5,1764694200,1764703380,3420,3060,3060,166,3060,false,159,16,0,143,0,159,3434400,"[UA_1460_2025-12-02_DEN_CMH_0_0, UA_2273_2025-12-02_DEN_MSY_0_0, UA_1003_2025-12-02_DEN_CHS_0_0, UA_1415_2025-12-02_DEN_SMF_0_0, UA_2459_2025-12-02_DEN_YYC_0_0, UA_430_2025-12-02_DEN_ONT_0_0, UA_1575_2025-12-02_DEN_PHL_0_0, UA_703_2025-12-02_DEN_BIL_0_0, UA_424_2025-12-02_DEN_CID_0_0, UA_671_2025-12-02_DEN_SBA_0_0, UA_221_2025-12-02_DEN_ELP_0_0, UA_1547_2025-12-02_DEN_FCA_0_0, UA_1451_2025-12-02_DEN_JAX_0_0, UA_375_2025-12-02_DEN_DCA_0_0, UA_2255_2025-12-02_DEN_IND_0_0, UA_1125_2025-12-02_DEN_BOI_0_0, UA_338_2025-12-02_DEN_BDL_0_0, UA_295_2025-12-02_DEN_GEG_0_0, UA_1294_2025-12-02_DEN_PSP_0_0, UA_2257_2025-12-02_DEN_PVR_0_0, UA_318_2025-12-02_DEN_EUG_0_0, UA_741_2025-12-02_DEN_BZN_0_0]",DEN,201
UA_2093_2025-12-02_GRR_DEN_0_0,2093GRR2025-12-02,201,2025-12-02,GRR,DEN,1764707100,1764718140,UA_2637_2025-12-02_DEN_GRR_0_0,UA_1942_2025-12-02_DEN_AUS_0_0,-5,-7,1764707100,1764718140,3060,3060,3060,166,3060,false,166,16,0,150,103,166,3585600,,GRR,201
UA_1942_2025-12-02_DEN_AUS_0_0,1942DEN2025-12-02,201,2025-12-02,DEN,AUS,1764722280,1764730320,UA_2093_2025-12-02_GRR_DEN_0_0,MX_201_2025-12-02_AUS_AUS_false,-7,-6,1764722280,1764730320,3420,3060,3060,166,3060,false,140,15,0,125,0,140,3024000,"[UA_2660_2025-12-02_DEN_SBA_0_0, UA_719_2025-12-02_DEN_RNO_0_0, UA_1153_2025-12-02_DEN_ELP_0_0, UA_756_2025-12-02_DEN_FAT_0_0, UA_645_2025-12-02_DEN_FSD_0_0, UA_423_2025-12-02_DEN_GRR_0_0, UA_350_2025-12-02_DEN_PHX_0_0, UA_1110_2025-12-02_DEN_SAT_0_0, UA_2324_2025-12-02_DEN_CID_0_0, UA_2350_2025-12-02_DEN_SYR_0_0, UA_506_2025-12-02_DEN_MCI_0_0, UA_2187_2025-12-02_DEN_SJC_0_0, UA_1762_2025-12-02_DEN_TUS_0_0, UA_1422_2025-12-02_DEN_STL_0_0, UA_360_2025-12-02_DEN_PHL_0_0, UA_1969_2025-12-02_DEN_CMH_0_0, UA_476_2025-12-02_DEN_YEG_0_0, UA_680_2025-12-02_DEN_ORF_0_0, UA_2076_2025-12-02_DEN_MSP_0_0, UA_231_2025-12-02_DEN_SDF_0_0]",DEN,201
MX_201_2025-12-02_AUS_AUS_false,MX_201_2025-12-02_AUS_AUS_false,201,2025-12-02,AUS,AUS,1764730320,1764751920,UA_1942_2025-12-02_DEN_AUS_0_0,UA_595_2025-12-03_AUS_DEN_0_0,,,1764730320,1764751920,5100,5100,5100,,0,true,,,,,,,,,AUS,201
UA_595_2025-12-03_AUS_DEN_0_0,595AUS2025-12-03,201,2025-12-03,AUS,DEN,1764774660,1764783300,MX_201_2025-12-02_AUS_AUS_false,UA_741_2025-12-03_DEN_BZN_0_0,-6,-7,1764774660,1764783300,5100,3060,3060,166,3060,false,152,14,0,138,100,152,3283200,[UA_1668_2025-12-03_AUS_SFO_0_0],AUS,201
UA_741_2025-12-03_DEN_BZN_0_0,741DEN2025-12-03,201,2025-12-03,DEN,BZN,1764787560,1764794100,UA_595_2025-12-03_AUS_DEN_0_0,UA_1109_2025-12-03_BZN_DEN_0_0,-7,-7,1764787560,1764794100,3420,3060,3060,166,3060,false,149,12,0,137,0,149,3218400,"[UA_1350_2025-12-03_DEN_DFW_0_0, UA_1362_2025-12-03_DEN_BWI_0_0, UA_1874_2025-12-03_DEN_YYZ_0_0, UA_1451_2025-12-03_DEN_JAX_0_0, UA_2257_2025-12-03_DEN_PVR_0_0, UA_1311_2025-12-03_DEN_SAT_0_0, UA_2265_2025-12-03_DEN_DSM_0_0, UA_1476_2025-12-03_DEN_TUS_0_0, UA_639_2025-12-03_DEN_MSO_0_0, UA_1547_2025-12-03_DEN_FCA_0_0, UA_1217_2025-12-03_DEN_DRO_0_0, UA_1294_2025-12-03_DEN_PSP_0_0, UA_1575_2025-12-03_DEN_PHL_0_0, UA_535_2025-12-03_DEN_SJC_0_0, UA_323_2025-12-03_DEN_TPA_0_0, UA_295_2025-12-03_DEN_GEG_0_0, UA_1460_2025-12-03_DEN_CMH_0_0, UA_2742_2025-12-03_DEN_TUS_0_0, UA_430_2025-12-03_DEN_ONT_0_0, UA_318_2025-12-03_DEN_EUG_0_0, UA_1415_2025-12-03_DEN_SMF_0_0]",DEN,201
UA_1109_2025-12-03_BZN_DEN_0_0,1109BZN2025-12-03,201,2025-12-03,BZN,DEN,1764798120,1764804540,UA_741_2025-12-03_DEN_BZN_0_0,UA_1374_2025-12-03_DEN_FLL_0_0,-7,-7,1764798120,1764804540,3060,3060,3060,166,3060,false,67,14,0,53,63,67,1447200,,BZN,201
UA_1374_2025-12-03_DEN_FLL_0_0,1374DEN2025-12-03,201,2025-12-03,DEN,FLL,1764808680,1764822600,UA_1109_2025-12-03_BZN_DEN_0_0,UA_204_2025-12-04_FLL_DEN_0_0,-7,-5,1764808680,1764822600,3420,3060,3060,166,3060,false,95,15,0,80,0,95,2052000,"[UA_331_2025-12-03_DEN_MIA_0_0, UA_476_2025-12-03_DEN_YEG_0_0, UA_719_2025-12-03_DEN_RNO_0_0, UA_2187_2025-12-03_DEN_SJC_0_0, UA_756_2025-12-03_DEN_FAT_0_0, UA_1153_2025-12-03_DEN_ELP_0_0, UA_1422_2025-12-03_DEN_STL_0_0, UA_2350_2025-12-03_DEN_SYR_0_0, UA_507_2025-12-03_DEN_RSW_0_0, UA_1110_2025-12-03_DEN_SAT_0_0, UA_431_2025-12-03_DEN_GJT_0_0, UA_2324_2025-12-03_DEN_CID_0_0, UA_423_2025-12-03_DEN_GRR_0_0, UA_1969_2025-12-03_DEN_CMH_0_0, UA_2644_2025-12-03_DEN_PSP_0_0, UA_1942_2025-12-03_DEN_AUS_0_0, UA_2076_2025-12-03_DEN_MSP_0_0, UA_680_2025-12-03_DEN_ORF_0_0]",DEN,201
UA_204_2025-12-04_FLL_DEN_0_0,204FLL2025-12-04,201,2025-12-04,FLL,DEN,1764858900,1764875340,UA_1374_2025-12-03_DEN_FLL_0_0,UA_445_2025-12-04_DEN_OMA_0_0,-5,-7,1764858900,1764875340,5100,3060,3060,166,3060,false,57,11,0,46,18,57,1231200,[UA_722_2025-12-04_FLL_IAH_0_0],FLL,201
