fid,fid_raw,tail,dep,arr,deptime,arrtime,prev_fid,next_fid,turn,delay_penalty,cancel_penalty,alternates
1,UA_562_2025-12-02_DRO_DEN_0_0,201,DRO,DEN,1764683100,1764688500,,2.0,3060,119,2570400,
2,UA_2637_2025-12-02_DEN_GRR_0_0,201,DEN,GRR,1764694200,1764703380,1.0,3.0,3060,159,3434400,"[886, 837, 781, 823, 613, 734, 550, 496, 628, 535, 521, 507, 69, 90, 153, 79, 124, 15, 427, 293, 317, 57]"
3,UA_2093_2025-12-02_GRR_DEN_0_0,201,GRR,DEN,1764707100,1764718140,2.0,4.0,3060,166,3585600,
4,UA_1942_2025-12-02_DEN_AUS_0_0,201,DEN,AUS,1764722280,1764730320,3.0,5.0,3060,140,3024000,"[888, 783, 825, 860, 736, 498, 687, 630, 523, 509, 680, 71, 93, 155, 81, 17, 295, 407, 381, 59]"
5,MX_201_2025-12-02_AUS_AUS_false,201,AUS,AUS,1764730320,1764751920,4.0,6.0,5100,0,7500000,
6,UA_595_2025-12-03_AUS_DEN_0_0,201,AUS,DEN,1764774660,1764783300,5.0,7.0,3060,152,3283200,[539]
7,UA_741_2025-12-03_DEN_BZN_0_0,201,DEN,BZN,1764787560,1764794100,6.0,8.0,3060,149,3218400,"[890, 785, 827, 862, 851, 775, 500, 690, 633, 525, 512, 683, 95, 157, 84, 19, 297, 350, 409, 383, 61]"
8,UA_1109_2025-12-03_BZN_DEN_0_0,201,BZN,DEN,1764798120,1764804540,7.0,9.0,3060,67,1447200,
9,UA_1374_2025-12-03_DEN_FLL_0_0,201,DEN,FLL,1764808680,1764822600,8.0,10.0,3060,95,2052000,"[892, 787, 829, 864, 853, 692, 635, 527, 514, 73, 766, 817, 398, 21, 299, 352, 411, 275]"
10,UA_204_2025-12-04_FLL_DEN_0_0,201,FLL,DEN,1764858900,1764875340,9.0,11.0,3060,57,1231200,[460]
11,UA_445_2025-12-04_DEN_OMA_0_0,201,DEN,OMA,1764881640,1764886920,10.0,12.0,3060,38,820800,"[637, 529, 517, 75, 770, 819, 162, 122, 120, 23, 303, 354, 413, 277, 66]"
12,UA_1816_2025-12-04_OMA_DEN_0_0,201,OMA,DEN,1764890700,1764897600,11.0,13.0,3060,124,2678400,[205]
