aircraft_id,skywise_aircraft_type,J_cap,O_cap,Y_cap
201,B737-800,16,0,150
202,B737-800,16,0,150
203,B737-800,16,0,150
204,B737-800,16,0,150
205,B737-800,16,0,150
206,B737-800,16,0,150
207,B737-800,16,0,150
208,B737-800,16,0,150
209,B737-800,16,0,150
210,B737-800,16,0,150
211,B737-800,16,0,150
212,B737-800,16,0,150
213,B737-800,16,0,150
214,B737-800,16,0,150
215,B737-800,16,0,150
216,B737-800,16,0,150
217,B737-800,16,0,150
218,B737-800,16,0,150
219,B737-800,16,0,150
220,B737-800,16,0,150
221,B737-800,16,0,150
222,B737-800,16,0,150
223,B737-800,16,0,150
224,B737-800,16,0,150
225,B737-800,16,0,150
226,B737-800,16,0,150
227,B737-800,16,0,150
228,B737-800,16,0,150
229,B737-800,16,0,150
230,B737-800,16,0,150
231,B737-800,16,0,150
232,B737-800,16,0,150
233,B737-800,16,0,150
234,B737-800,16,0,150
235,B737-800,16,0,150
236,B737-800,16,0,150
237,B737-800,16,0,150
238,B737-800,16,0,150
239,B737-800,16,0,150
240,B737-800,16,0,150
241,B737-800,16,0,150
242,B737-800,16,0,150
243,B737-800,16,0,150
244,B737-800,16,0,150
245,B737-800,16,0,150
246,B737-800,16,0,150
247,B737-800,16,0,150
248,B737-800,16,0,150
249,B737-800,16,0,150
250,B737-800,16,0,150
251,B737-800,16,0,150
252,B737-800,16,0,150
253,B737-800,16,0,150
254,B737-800,16,0,150
255,B737-800,16,0,150
256,B737-800,16,0,150
257,B737-800,16,0,150
258,B737-800,16,0,150
259,B737-800,16,0,150
263,B737-800,16,0,150
265,B737-800,16,0,150
266,B737-800,16,0,150
267,B737-800,16,0,150
268,B737-800,16,0,150
269,B737-800,16,0,150
271,B737-800,16,0,150
272,B737-800,16,0,150
273,B737-800,16,0,150
274,B737-800,16,0,150
275,B737-800,16,0,150
276,B737-800,16,0,150
277,B737-800,16,0,150
278,B737-800,16,0,150
279,B737-800,16,0,150
280,B737-800,16,0,150
281,B737-800,16,0,150
282,B737-800,16,0,150
283,B737-800,16,0,150
284,B737-800,16,0,150
285,B737-800,16,0,150
286,B737-800,16,0,150
287,B737-800,16,0,150
288,B737-800,16,0,150
289,B737-800,16,0,150
290,B737-800,16,0,150
292,B737-800,16,0,150
295,B737-800,16,0,150
298,B737-800,16,0,150
501,B737-800,16,0,150
502,B737-800,16,0,150
503,B737-800,16,0,150
504,B737-800,16,0,150
505,B737-800,16,0,150
506,B737-800,16,0,150
